path,exists,ext,status,page_count,error,text_chars,text_path
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,True,.pdf,ok,6,,5859,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/d39f12bd12f3_细则.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,True,.pdf,ok,9,,8118,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/da5883631078_试卷.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,True,.docx,ok,,,6423,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/066dbcf5b765_细则.docx.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,True,.pdf,ok,11,,8890,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/ef312c0ead76_试卷.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx,True,.docx,ok,,,2653,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/4572acf26cdb_细则.docx.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,True,.pdf,ok,10,,9715,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/438d82cfc42b_试卷.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,True,.doc,ok,,,2818,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/700c0fe3ebe1_细则.doc.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,True,.pdf,ok,11,,10574,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/949be36f2037_试卷.pdf.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,True,.docx,ok,,,4085,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/6ea5462e02af_细则.docx.txt
/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,True,.pdf,ok,10,,9991,选必三双宝典_哲学宝典完全对齐返工_2026-05-25/06_candidate_audit/original_source_recheck_20260528/source_text_from_originals/062e7a5c776b_试卷.pdf.txt
